Name,Background,Skin,Shell,Body,Mouth,Eyes,Head,Token_ID
Terrapin #09916,Blue Grey,Common,Armoured ,Cloak - Black,Scream,Goggle Steam Punk,Mohawk - Purple,247558861146585499909493359203164027178
Terrapin #01657,Clouds,Common,Base ,Cloak - Brown,Dopey,Cyborg - Bored,None,309968463181707437386878092213881949333
Terrapin #01979,Blue Grey,Chocolate, Spikes,Naked,Dopey,Steam Punk - Angry,Mohawk - Silver,58374045299956214752676184910158625113
Terrapin #06748,Early Light,Lion,Base ,Naked,Snarl - Nose Ring,Steam Punk - Angry,Lion Hat,270772056973375581500819523040391412470
Terrapin #03421,Mint,Lion,Knight Sword - Blue,Luna Jersey,Dopey,Cyborg - Bored,Dragon Hat - Green,74931927281350632693811820576244415482
Terrapin #01597,Charcoal Full Moon,Common,Knight Sword - Brown,Luna Jersey,Dopey - Vampire,Eyepatch - Angry,Angel Halo,17836546754808408678910984382762110414
Terrapin #03310,Mint,Teddy,Knight Sword - Brown,Naked,Sad,Bored ,Pirate Bandana,200761153807208360978780719090173137391
Terrapin #07530,Blue Grey,Chocolate,Dragon Scale - Green,Steam Punk Shirt - Blue,Grin,Angry Tweeker ,None,1660630226048919421600120050257225190
Terrapin #07248,Lilac,Lion,Knight Sword - Blue,Cloak - Black,Snarl,Steam Punk - Angry,None,199527394072912656950804910551419848853
Terrapin #04273,Blue Grey,Lion,Base ,Kings Robe,Grin,Goggle Steam Punk - Laser,Top Hat - Steam Punk,161309796262192850937524472977989591361
Terrapin #09038,Midnight Blue - Big Moon,Luna,Knight Sword - Brown,Cloak - Blue,Grin - Cigar,Bored ,Ice Cream,276034414192172239811163346738313203307
Terrapin #04289,Burnt Orange,Leopard Lion,Base ,Naked,Scowl,Cyborg - Angry Clown,None,145548044692040885767431962782814160337
Terrapin #08618,Lilac,Black and Yellow, Cannon,Naked,Dopey,Goggle Steam Punk - Black,Mop  Brown,203623834091420465153102943142482918274
Terrapin #00390,Baby Blue,Tiger Teddy,Base ,Cloak - Brown,Grin,Monocle - Tweeker ,Mohawk - Black,66525940331175170001639770348762156818
Terrapin #06292,Blood Red - Big Moon,Luna, Spikes,Naked,Grin,Goggle Steam Punk - Black,Knight Helmet - Blue,165072678631673805954081931412668153730
Terrapin #03439,Baby Yellow,Teddy,Base ,Naked,Grin - 5pm Shadow,Bored ,Cap - Pylon,106424343961172099834136575472964773067
Terrapin #02465,Purple,Zebra,Base ,Naked,Grin,Goggle Steam Punk - Black,Mop  Black,294990324735626204290343032230901900544
Terrapin #06490,Baby Blue,Zebra,Base ,Cloak - Black,Moustache,Cyborg - Angry,Afro,259629071529771835798625526896557480352
Terrapin #09906,Burnt Orange,Common,Base ,Cloak - Black,Bubblegum,Tweeker ,Red  with Horns,258250598444692522337298338151173875608
Terrapin #03931,Mint,Common,Dragon Wings - Green,Naked,Monster,Cyborg - Tweeker,Mohawk - Red,245398999205282640739351211982900008747
Terrapin #05349,Mint,Common,Dragon Scale - Purple,Cloak - Brown,Snarl,Bored ,Crown - Sapphire,273974940142752833468165651384710248737
Terrapin #02238,Early Light,Teddy,Base ,Naked,Beard,Sunnies - Gold,Bull Hat,235440584597623914220756717539236515151
Terrapin #05125,Neon Pink,Monochrome,Base ,Orange Shirt,Grin,Tweeker ,Mohawk - Green,247291545948143370259339226964092956996
Terrapin #09577,Blue Grey,Hellfire,Dragon Wings - Green,Hawaiian Shirt - Watermelon,Scowl,Eyepatch - Tweeker,Mohawk - Blue,142819045226347736805601069885224379250
Terrapin #07446,Mint,Zombie,Knight Sword - Red,Cloak - Brown,Beard,Steam Punk - Tweeker,Basketball,32044150571891405938915501457073880313
Terrapin #03204,Blue Grey,Common, Spikes,Cloak - Black,Dopey,Monocle - Tweeker ,Pirate Bandana,203888108917263021973599456179078651232
Terrapin #04330,Blue Grey,Common,Base ,Cloak - Black,Ehh,Sunnies - Gun Metal,Pylon Helmet,227634768206631504464802987648005709153
Terrapin #06665,Burnt Orange,Common,Steam Punk ,Hawaiian Shirt - Watermelon,Terrorpin,Angry Tweeker ,Unicorn,97821279010652162824583368655416198597
Terrapin #09406,Early Light,Common,Turtle Katana,Tuxedo,Ehh,Tweeker ,Girls  - Brown,205020122916763832012584509212201756915
Terrapin #07472,Steel Blue,Teddy,Armoured ,Steam Punk Shirt - Blue,Beard,Bored ,Mohawk - Purple,264510664254641973304102256268464847963
Terrapin #01511,Baby Yellow,Geisha, Spikes,Leather Jacket - Black,Dopey,Goggle Steam Punk,Spiky  - Brown,264856638235090301752788327737318485655
Terrapin #08554,Blue Grey,Leopard Unicorn,Armoured ,Cloak - Black,Sad,Goggle Steam Punk,Angel Halo,63262668439945541578011707358988228041
Terrapin #06985,Early Light,Teddy,Base ,Suit and Tie,Dopey - Vampire,Monocle - Bored ,Mop  Black,146206029564043457007777039559029719933
Terrapin #02527,Early Light,Luna,Dragon Wings - Green,Cloak - Black,Monster,Steam Punk - Bored,Fried Egg,267999302996194777882203105195796006776
Terrapin #04882,Early Light,Lion,Knight Sword - Blue,Naked,Sad,Bored  - Shaved Brow,Cap - MIR,47372900126186543552799935787652566891
Terrapin #01982,Mint,Common, Spikes,Leather Jacket - Black,Dopey - Vampire,Cyborg - Angry Clown,Cheese Head,322123692785801561927094644605442899851
Terrapin #01110,Neon Pink,Geisha,Armoured ,Tuxedo,Snarl,Cyborg - Tweeker,Bowler Hat,313416837339650534112812377650759856177
Terrapin #03037,Blue Grey,Lion,Base ,Naked,Monster,Bored ,Rainbow Cap,44887147947189155595892450639924236312
Terrapin #07448,Purple,Common,Base ,Naked,Terrorpin,Eyepatch - Angry,Mohawk - Silver,118937051683317513152994308486328361338
Terrapin #05479,Blue Grey,Lion, Spikes,Leather Jacket - Black and White,Ehh,Goggle Steam Punk - Black,Spiky  - Blonde,281727663963824262314969621232528249657
Terrapin #04272,Neon Pink,Unicorn,Knight Sword - Green,Naked,Sad,Eyepatch - Bored,Mohawk - Black,9334558758713323556378406559965382744
Terrapin #03512,Mint,Black and Yellow,Dragon Wings - Red,Cloak - Blue,Grin - Cigar,Bored ,Rainbow Cap,308355478244600016609572233099729388532
Terrapin #05179,Mint,Tiger Teddy,Base ,Naked,Beard,Cyborg - Closed Eye,Mohawk - Rainbow,22962947751692816314728928879481687663
Terrapin #01450,Purple,Luna,Knight Sword - Brown,Steam Punk Shirt - Red,Ehh,Monocle - Tweeker ,Basketball,218674000145912321824397127887293327365
Terrapin #06358,Charcoal Full Moon,Common,Base ,Luna Jersey,Monster,Tweeker ,Wizard Hat - Blue,246789344752169334681281201063621727950
Terrapin #05130,Steel Blue,Chocolate,Base ,Naked,Monster,Cyborg - Angry Clown,Spiky  - Blonde,181766192980403425147822730829653007382
Terrapin #01669,Mint,Luna, Spikes,Naked,Monster,Tweeker ,Girls  - Brown,259377564014881555835433303396044794742
Terrapin #08002,Blue Grey,Unicorn,Base ,Hawaiian Shirt - Watermelon,Dopey - Vampire,Tweeker ,None,257453292684499877395614857602602469867
Terrapin #07719,Mint,Common,Dragon Scale - Green,Tuxedo,Scream,Eyepatch - Tweeker,Basketball,291427927841388920244103088099492955377
Terrapin #06878,Blue Grey,Teddy,Base ,Naked,Dopey,Sunnies - Gun Metal,Unicorn,72514081853003397782941738420429269349
Terrapin #05022,Mint,Chocolate,Base ,Orange Shirt,Bubblegum,Closed ,Mohawk - Blue,54073009476144856370342326103441147289
Terrapin #01428,Purple,Black and Yellow,Knight Sword - Brown,Naked,Scream,Steam Punk - Angry,Mohawk - Blue,316109094966339617284553765861321707453
Terrapin #01460,Charcoal Full Moon,Common,Base ,Naked,Grin - 5pm Shadow,Spectacles - Tortoise Shell,Spiky  - Blonde,91030040594706728055475539158085850448
Terrapin #03545,Steel Blue,Lion,Knight Sword - Red,Naked,Grin,Cyborg - Angry,Octopus,304156749219876879846364231965013699193
Terrapin #05109,Purple,Common,Dragon Wings - Red,Naked,Grin - Cigar,Cyborg - Tweeker,Mop  Black,69918938544160751720075128932515217923
Terrapin #08019,Neon Pink,Tiger Teddy,Base ,Naked,Dopey - Drool,Cyborg - Bored,Unicorn,335682881680368236438446121260252472643
Terrapin #00310,Lilac,Black and Yellow,Base ,Naked,Ehh,Tweeker ,Top Hat - black,227541681924476597068382399701910493992
Terrapin #00379,Blue Grey,Chocolate,Knight Sword - Brown,Naked,Dopey,Tweeker ,Afro,293300005183653960479190304081665682334
Terrapin #03668,Midnight Blue - Big Moon,Common,Base ,Luna Jersey,Snarl - Nose Ring,Steam Punk - Tweeker,Dragon Hat - Purple,185103193345472809801173227950012497615
Terrapin #07959,Steel Blue,Common,Knight Sword - Green,Steam Punk Shirt - Red,Ehh,Steam Punk - Bored,Spiky  - Black,132209585295863405121155635827703845111
Terrapin #00380,Purple,Luna,Base ,Hawaiian Shirt - Watermelon,Dopey,Tweeker ,None,53798447329292634176998055238782077652
Terrapin #06906,Neon Pink,Lion,Base ,Cloak - Black,Grin,Closed ,None,326717841663111004644845039491260733905
Terrapin #03148,Early Light,Leopard Unicorn,Armoured ,Leather Jacket - Black and White,Moustache,Bored ,Cap - Luna,154373188777523823194349981697664335130
Terrapin #04001,Steel Blue,Lion,Dragon Wings - Black,Hawaiian Shirt - Watermelon,Dopey,Cyborg - Closed Eye,Mohawk - Purple,194864355160020485508944123631540412204
Terrapin #03002,Purple,Rainbow,Base ,Hawaiian Shirt - Watermelon,Scowl,Sunnies - Gun Metal,Cap - Pylon,10829825934167758445716405737281107643
Terrapin #09493,Purple,Tiger Teddy,Base ,Leather Jacket - Black,Snarl,Cyborg - Tweeker,Wizard Hat - Brown,216597035943699095076070870786768288929
Terrapin #09310,Mint,Teddy,Base ,Naked,Subtle Smile,Bored ,None,192618283533038333339540598069439637175
Terrapin #05809,Blood Red - Big Moon,Black and Yellow,Dragon Scale - Green,Cloak - Black,Monster,Steam Punk - Tweeker,Spiky  - Black,107660925487972930744215320826775395081
Terrapin #05211,Blue Grey,Lion, Spikes,Tuxedo,Terrorpin,Steam Punk - Tweeker,Mohawk - Black,137312193653054052214935440749779658196
Terrapin #09321,Mint,Geisha,Dragon Wings - Purple,Naked,Vampire,Eyepatch - Angry,Cap - Pylon,213951412058421948707519292905902785790
Terrapin #01977,Burnt Orange,Hellfire,Dragon Wings - Red,Leather Jacket - Black,Scowl,Tweeker ,Top Hat - black,103644948802582038709490699167153802281
Terrapin #00305,Burnt Orange,Monochrome,Armoured ,Luna Jersey,Dopey - Drool,Tweeker ,Mop  Black,274269292609454223798406051090788910559
Terrapin #04253,Blue Grey,Tiger Teddy,Base ,Leather Jacket - Black and White,Ehh,Goggle Steam Punk,Mohawk - Black,203243198176575863643688668360784866016
Terrapin #09759,Purple,Tiger Teddy,Base ,Naked,Sad,Tweeker ,Top Hat - Steam Punk,73491083584481925969828973930960710952
Terrapin #06643,Blue Grey,Luna,Base ,Naked,Vampire,Tweeker ,Dragon Hat - Red,290802493127282925933033803952663967270
Terrapin #01786,Blue Grey,Common,Base ,Tuxedo,Scream,Bored ,Penguin Hat,36219273261645112884177551441398151364
Terrapin #01715,Baby Blue,Unicorn,Knight Sword - Blue,Kings Robe,Dopey,Tweeker ,Penguin Hat,64005997645481012550433423359186964295
Terrapin #04242,Steel Blue,Common,Knight Sword - Blue,Cloak - Black,Dopey,Steam Punk - Tweeker,Top Hat - black,80075379936720262223026040620298662789
Terrapin #03262,Lilac,Frog,Knight Sword - Green,Naked,Grin - 5pm Shadow,Cyborg - Bored,Mohawk - Red,31997602583825135168899540658282747884
Terrapin #07034,Early Light,Black and Yellow,Base ,Naked,Scowl,Tweeker ,Spiky  - Brown,181294431755695204974849817247727888551
Terrapin #00300,Baby Yellow,Tiger Teddy,Base ,Leather Jacket - Black,Snarl,Bored ,Fried Egg,30476083625468701320406276453586182268
Terrapin #06628,Blue Grey,Common,Base ,Luna Shirt,Dopey - Drool,Angry Tweeker ,Wizard Hat - Brown,172220210403205567555101187574244262741
Terrapin #05549,Charcoal Full Moon,Leopard Lion,Dragon Scale - Green,Steam Punk Shirt - Blue,Grin - 5pm Shadow,Bored ,Basketball,120390115794532400164344664846359852196
Terrapin #04543,Blue Grey,Lion, Spikes,Naked,Monster,Cyborg - Tweeker,Afro,234487675847100328876414372506408520763
Terrapin #06829,Purple,Hellfire,Base ,Kings Robe,Beard,Steam Punk - Bored,Mohawk - Black,244946322866611697641143640970840142582
Terrapin #03052,Blood Red - Big Moon,Black and Yellow,Dragon Wings - Black,Steam Punk Shirt - Blue,Grin,Monocle - Bored ,Pizza,60735820748083803007429125848790192675
Terrapin #01646,Lilac,Teddy, Spikes,Naked,Terrorpin,Angry Tweeker ,Dragon Hat - Red,29985910195270930656285575728961230709
Terrapin #06605,Lilac,Lion,Base ,Leather Jacket - Black and White,Monster,Steam Punk - Tweeker,Basketball,151716957103387184898955856432130140155
Terrapin #06678,Clouds,Common, Spikes,Luna Jersey,Grin,Angry Tweeker ,Girls  - Pink,123273743318918447303398984967071637523
Terrapin #04489,Mint,Common,Knight Sword - Brown,Leather Jacket - Black,Snarl - Nose Ring,Eyepatch - Tweeker,Girls  - Brown,101051953740674871584860041016676390223
Terrapin #02799,Baby Yellow,Lion,Steam Punk ,Suit and Tie,Dopey,Tweeker ,Mohawk - Green,205072404234482946468065706465838322733
Terrapin #07738,Blue Grey,Lion,Base ,Hawaiian Shirt - Watermelon,Sad,Tweeker ,Mohawk - Black,263029449893351335686124186052738217547
Terrapin #06029,Neon Pink,Common,Steam Punk ,Tuxedo,Beard,Tweeker ,Afro,285895891036719031883577074693448870288
Terrapin #02954,Blue Grey,Common, Cannon,Naked,Grin,Bored  - Shaved Brow,Pirate Bandana,203840795924242781506895684837476204673
Terrapin #02119,Early Light,Common,Knight Sword - Brown,Assassins Cloak - Black,Dopey,Cyborg - Closed Eye,Crown - Sapphire,54050507369390656688106091901915097904
Terrapin #04582,Blue Grey,Lion,Dragon Wings - Purple,Naked,Grin,Bored  - Shaved Brow,Spiky  - Black,287748050649490606850751190320931582497
Terrapin #02509,Mint,Dalmation,Steam Punk ,Hawaiian Shirt - Watermelon,Dopey,Tweeker ,Mop  Brown,321080002855188536700024835783482262403
Terrapin #04442,Early Light,Leopard Unicorn, Spikes,Hawaiian Shirt - Watermelon,Licky Licky,Goggle Steam Punk - Black,Basketball,328183220621136211166498068235918284393
Terrapin #02531,Baby Blue,Lion, Cannon,Naked,Sad,Angry Tweeker ,Mohawk - Silver,59525083987425940174573524207124057467
Terrapin #00160,Blue Grey,Common,Dragon Scale - Green,Naked,Grin,Cyborg - Angry,Spiky  - Blonde,239071613273720400106925215728378396433
Terrapin #04323,Early Light,Teddy,Knight Sword - Brown,Naked,Dopey - Vampire,Eyepatch - Angry,Basketball,272651818064284724249052773955750499384
Terrapin #02447,Charcoal Full Moon,Black and Yellow,Base ,Assassins Cloak - White,Dopey,Bored ,None,59660262900226749252649078572576045314
Terrapin #00399,Steel Blue,Lion, Spikes,Hawaiian Shirt - Watermelon,Grin,Bored ,Spiky  - Black,204978530895458817975156027314224471364
Terrapin #00571,Clouds,Leopard Lion,Base ,Assassins Cloak - Black,Grin,Eyepatch - Angry,Top Hat - Steam Punk,23665008271114956282995989412161097184
Terrapin #03075,Steel Blue,Common,Dragon Scale - Green,Cloak - Blue,Monster,Bored ,Unicorn,24315917577567159981409200816488504459
Terrapin #01358,Steel Blue,Luna, Spikes,Naked,Dopey - Vampire,Tweeker ,Spiky  - Brown,205413679890486721450096573738826585625
Terrapin #08874,Purple,Common,Base ,Cloak - Brown,Ehh,Monocle - Tweeker ,Crown - Sapphire,92731010038278408401102707599243884301
Terrapin #06787,Purple,Common,Dragon Wings - Red,Cloak - Blue,Grin,Laser ,Cap - ANC,99543809982485513625262549561439402186
Terrapin #03451,Steel Blue,Rainbow,Dragon Wings - Black,Naked,Dopey,Sunnies - Pink,Terrorpin,262949332336769851477243884880836196787
Terrapin #05856,Blue Grey,Common,Steam Punk ,Orange Shirt,Grin - 5pm Shadow,Steam Punk - Angry,Cap - MIR,87074146380294619292159941252781441432
Terrapin #03948,Purple,Geisha,Base ,Naked,Bubblegum,Cyborg - Bored,Mohawk - Green,164346471622323581745443041627025941619
Terrapin #07506,Purple,Luna,Base ,Leather Jacket - Black and White,Scream,Cyborg - Bored,Cap - Pylon,304606604682992912651729936815068538372
Terrapin #08783,Lilac,Zebra, Spikes,Naked,Dopey,Tweeker ,Penguin Hat,304408238202442117776171064442194098220
Terrapin #02025,Early Light,Lion,Base ,Cloak - Blue,Ehh,Tweeker ,Cap - Pylon,232323589852804177762211015449522435104
Terrapin #04586,Mint,Leopard Lion,Knight Sword - Green,Hawaiian Shirt - Pineapple,Dopey,Monocle - Bored ,Angel Halo,5107224791121297237574740536153396772
Terrapin #01885,Clouds,Leopard Unicorn,Base ,Luna Jersey,Grin,Goggle Steam Punk,Spiky  - Brown,52405306415573864750064745180533087515
Terrapin #02261,Mint,Common,Base ,Naked,Dopey - Drool,Cyborg - Angry,Basketball,87699074245330464641490016261867673941
Terrapin #01632,Steel Blue,Tiger,Base ,Leather Jacket - Black,Grin,Bored ,Mohawk - Red,137019258892937617399177384089962586778
Terrapin #05018,Early Light,Lion,Dragon Wings - Red,Cloak - Brown,Grin - 5pm Shadow,Sunnies - Gun Metal,Spiky  - Blonde,128459336559755742637039054924852768413
Terrapin #02886,Steel Blue,Common,Base ,Naked,Grin,Tweeker ,Spiky  - Brown,122543849355246463748594410067540045533
Terrapin #07787,Mint,Chocolate,Base ,Naked,Monster,Bored ,Mop  Black,236882799248122996368351824253988044088
Terrapin #02177,Purple,Common,Armoured ,Steam Punk Shirt - Blue,Grin,Bored ,Mohawk - Blue,55764349966397123544081938833094825772
Terrapin #07997,Mint,Hellfire,Armoured ,Steam Punk Shirt - Blue,Dopey - Vampire,Tweeker ,Bowler Hat,47218932732691798040581367666850321992
Terrapin #09441,Midnight Blue - Big Moon,Lion,Knight Sword - Blue,Leather Jacket - Black,Ehh,Bored  - Shaved Brow,Girls  - Pink,14252274735380343188353111631315547306
Terrapin #05258,Steel Blue,Teddy,Base ,Hawaiian Shirt - Watermelon,Monster,Tweeker ,Cap - MIR,46740361520345079379771644779239972349
Terrapin #09454,Blood Red - Big Moon,Teddy,Knight Sword - Brown,Leather Jacket - Black and White,Beard,Closed ,Octopus,274489726242645756588810215648985854187
Terrapin #00906,Mint,Dalmation,Dragon Scale - Green,Cloak - Black,Snarl,Bored ,Wizard Hat - Brown,160678361038367233791783843716769876606
Terrapin #00748,Blood Red - Big Moon,Common,Dragon Scale - Green,Naked,Scowl,Tweeker ,Crown - Ruby,242912803595534959036328341770034283074
Terrapin #03922,Charcoal Full Moon,Lion,Dragon Wings - Green,Naked,Grin - Cigar,Monocle - Bored ,None,291587753789494384203735336506597770452
Terrapin #00762,Burnt Orange,Teddy,Steam Punk ,Cloak - Black,Sad,Sunnies - Gun Metal,Mop  Black,251118514825907306792116131865698357815
Terrapin #04532,Early Light,Tiger Teddy,Armoured ,Naked,Grin,Steam Punk - Bored,Top Hat - Steam Punk,111017217274659100630029604489329348017
Terrapin #09629,Midnight Blue - Big Moon,Hellfire,Knight Sword - Blue,Naked,Ehh,Eyepatch - Bored,Mohawk - Black,338521826759041874652509732341222194007
Terrapin #08603,Burnt Orange,Teddy,Knight Sword - Brown,Cloak - Black,Grin,Steam Punk - Angry,Mohawk - Blue,339267191133062027245397520773761890907
Terrapin #00309,Blue Grey,Tiger Teddy,Knight Sword - Green,Luna Shirt,Dopey,Laser ,Mop  Black,23537416003487281622953539551962110453
Terrapin #09611,Mint,Lion, Spikes,Naked,Dopey,Cyborg - Bored,Basketball,172139209702267915658484546099249196231
Terrapin #09674,Blue Grey,Luna,Base ,Orange Shirt,Scream,Steam Punk - Tweeker,Bowler Hat,214634355340053806208801430330174601935
Terrapin #02797,Charcoal Full Moon,Leopard Unicorn,Base ,Naked,Ehh,Steam Punk - Tweeker,Mohawk - Blue,162839620168945178322916905391973464333
Terrapin #03072,Mint,Black and Yellow,Knight Sword - Green,Luna Jersey,Grin,Tweeker ,Devil Horns,320887847077202460287001372170507006500
Terrapin #02495,Steel Blue,Common,Armoured ,Naked,Grin - 5pm Shadow,Bored ,Top Hat - Steam Punk,164637992088334314438465464975675450996
Terrapin #08393,Mint,Tiger Teddy,Dragon Scale - Green,Leather Jacket - Black and White,Grin,Goggle Steam Punk - Black,Mohawk - Green,107479001983160233498079329565157051771
Terrapin #05704,Neon Pink,Geisha,Base ,Naked,Ehh,Eyepatch - Angry,Mop  Black,272532236099016319423872470041328188337
Terrapin #07688,Mint,Common,Dragon Wings - Purple,Hawaiian Shirt - Watermelon,Dopey,Bored  - Shaved Brow,Spiky  - Brown,133779896406472368455906420935607740120
Terrapin #07936,Baby Blue,Monochrome,Dragon Scale - Purple,Naked,Monster,Cyborg - Bored,Cap - ANC,272470525765266678222659888837621253854
Terrapin #06629,Early Light,Leopard Lion,Dragon Scale - Green,Naked,Snarl,Bored ,Spiky  - Brown,293825021071053521055426623238910464762
Terrapin #06964,Blue Grey,Unicorn,Base ,Assassins Cloak - Black,Terrorpin,Tweeker ,Spiky  - Blonde,267677701435983719419147536171988524208
Terrapin #00710,Burnt Orange,Unicorn,Knight Sword - Brown,Cloak - Brown,Grin,Tweeker ,Penguin Hat,226174790435662499110287437355618450083
Terrapin #07524,Early Light,Lion,Base ,Hawaiian Shirt - Watermelon,Monster,Steam Punk - Tweeker,Top Hat - Steam Punk,211023795638818837917689543031601365929
Terrapin #03490,Early Light,Chocolate, Cannon,Naked,Dopey,Tweeker ,Top Hat - black,333111840587036780176112361644649479925
Terrapin #09813,Mint,Teddy,Base ,Naked,Snarl,Bored ,Pirate Bandana,239758407112398462341081448252432336535
Terrapin #04351,Purple,Common,Base ,Naked,Vampire,Sunnies - Gold,Spiky  - Brown,317927830884455841734743860429619450781
Terrapin #01927,Purple,Common,Base ,Cloak - Blue,Grin,Bored ,Cap - Luna,283881090005403036665334318304446763209
Terrapin #08036,Blood Red - Big Moon,Common,Base ,Steam Punk Shirt - Red,Monster,Tweeker ,Mohawk - Blue,102145914563630769279713308200731515796
Terrapin #03423,Blue Grey,Leopard Unicorn,Knight Sword - Brown,Leather Jacket - Black and White,Dopey,Steam Punk - Angry,Wizard Hat - Brown,276574954749795076097982632389960968175
Terrapin #05184,Neon Pink,Monochrome,Base ,Leather Jacket - Black,Sad,Eyepatch - Bored,None,14784140150015183941408045332242195210
Terrapin #05666,Baby Yellow,Tiger Teddy, Spikes,Naked,Grin,Steam Punk - Angry,Fried Egg,227509206425906387305814843800034171181
Terrapin #08359,Purple,Black and Yellow,Knight Sword - Brown,Naked,Grin - Cigar,Sunnies - Gun Metal,Mop  Brown,87589973135438762045744454550601033978
Terrapin #09896,Baby Yellow,Common,Base ,Assassins Cloak - Black,Grin,Cyborg - Tweeker,Girls  - Pink,123174445568868832123246352985838652347
Terrapin #03567,Blue Grey,Chocolate,Base ,Naked,Grin,Sunnies - Gold,Fried Egg,212471537013994959745484171151722594215
Terrapin #00895,Mint,Luna,Base ,Cloak - Brown,Dopey,Tweeker ,Cap - ANC,49610731362129671596477534274319850581
Terrapin #07122,Blue Grey,Common,Knight Sword - Green,Assassins Cloak - Black,Ehh,Goggle Steam Punk - Black,Mop  Brown,270893678318051631903375727178887329293
Terrapin #01496,Early Light,Monochrome,Base ,Hawaiian Shirt - Watermelon,Dopey,Sunnies - Gun Metal,None,242954824893083004511307164453627038673
Terrapin #04222,Steel Blue,Teddy,Knight Sword - Brown,Naked,Dopey,Tweeker ,Penguin Hat,246260687129225304804476376150199993570
Terrapin #08969,Mint,Common,Knight Sword - Blue,Naked,Ehh,Goggle Steam Punk - Black,Mohawk - Red,212013234169779587034183080895527802940
Terrapin #05624,Mint,Teddy,Base ,Naked,Dopey,Goggle Steam Punk - Laser,Spiky  - Blonde,62281781869847405450896557626971168862
Terrapin #09752,Baby Blue,Common,Dragon Wings - Red,Cloak - Black,Snarl,Tweeker ,Crown - Sapphire,178022145437538576576279129114352445333
Terrapin #06097,Purple,Common,Dragon Wings - Green,Cloak - Black,Scowl,Monocle - Bored ,Mohawk - Black,335209188391322387723341901830871870958
Terrapin #06912,Steel Blue,Lion,Base ,Hawaiian Shirt - Watermelon,Ehh,Tweeker ,Girls  - Brown,146174341962162259061142960710573207997
Terrapin #00926,Mint,Lion, Spikes,Cloak - Black,Grin - 5pm Shadow,Eyepatch - Tweeker,Bowler Hat,3214143236397568809518107749594588016
Terrapin #09912,Midnight Blue - Big Moon,Lion,Turtle Katana,Naked,Grin,Cyborg - Angry,None,308826907369682213302459049647297324554
Terrapin #07676,Early Light,Dalmation,Angel Wings,Naked,Grin - 5pm Shadow,Steam Punk - Bored,Mohawk - Silver,282654493681400534364810396620344008176
Terrapin #06895,Blue Grey,Lion,Knight Sword - Blue,Naked,Grin,Sunnies - Gold,Fried Egg,198375444968181254346144055528618847565
Terrapin #07240,Steel Blue,Rainbow,Angel Wings,Cloak - Black,Scowl,Monocle - Tweeker ,Cap - MIR,1889036000999535595394989260093091479
Terrapin #09408,Blue Grey,Lion,Dragon Wings - Green,Suit and Tie,Monster,Tweeker ,Bowler Hat,276157355265051244772514891155020128720
Terrapin #08441,Baby Yellow,Tiger Teddy,Base ,Luna Shirt,Grin,Tweeker ,Afro,600828138945605446378127556450202527
Terrapin #05049,Blue Grey,Chocolate,Base ,Naked,Dopey,Eyepatch - Tweeker,Mop  Black,25612400759651993990191439338959616831
Terrapin #05654,Mint,Chocolate,Dragon Wings - Green,Leather Jacket - Black,Grin - Cigar,Angry Tweeker ,Top Hat - black,3194021141616247312341654041971730102
Terrapin #03237,Early Light,Zebra,Base ,Cloak - Brown,Ehh,Bored ,Mohawk - Black,311100462237540559129703718510730466117
Terrapin #03901,Clouds,Zebra,Knight Sword - Blue,Luna Jersey,Snarl,Bored ,Basketball,200090062236194397196693856203267541243
Terrapin #04079,Baby Blue,Leopard Lion,Base ,Naked,Sad,Tweeker ,Cap - ANC,292043387389403446561669569377248594540
Terrapin #06187,Blue Grey,Geisha,Base ,Naked,Grin,Bored ,Wizard Hat - Blue,56433307509547175470719349041623038394
Terrapin #09794,Mint,Chocolate,Armoured ,Naked,Ehh,Angry Tweeker ,Penguin Hat,124734565414848381572845231139461259139
Terrapin #02436,Mint,Lion, Spikes,Naked,Dopey,Tweeker ,Spiky  - Blonde,290901552634207076717236748341278066753
Terrapin #07912,Mint,Common,Base ,Luna Jersey,Scream,Steam Punk - Angry,None,76189782052667932686072690205416708162
Terrapin #03041,Blue Grey,Unicorn,Base ,Tuxedo,Snarl - Nose Ring,Tweeker ,Bonnett,91048098417812092812444818537834377457
Terrapin #02828,Burnt Orange,Black and Yellow,Dragon Wings - Green,Naked,Grin,Cyborg - Angry,Top Hat - black,43515856602090694148336733856179881953
Terrapin #02320,Steel Blue,Common,Base ,Cloak - Brown,Snarl - Nose Ring,Eyepatch - Angry,None,289914907154895152147287857215286568390
Terrapin #03157,Blood Red - Big Moon,Teddy,Dragon Wings - Black,Cloak - Black,Sad,Bored ,None,135246814063919318430510624900012606328
Terrapin #02585,Early Light,Luna,Base ,Naked,Ehh,Tweeker ,Crown - Emerald,53354459426840969816798440754174942360
Terrapin #03327,Burnt Orange,Luna,Base ,Naked,Monster,Bored ,Mohawk - Rainbow,164414202123566763888269271112501955995
Terrapin #07923,Charcoal - Big Moon,Luna,Armoured ,Naked,Scowl,Bored ,Spiky  - Black,116544381950323573862853184078200016436
Terrapin #09757,Lilac,Luna,Base ,Naked,Dopey - Drool,Cyborg - Tweeker,None,84901702323258298583345057727126335958
Terrapin #00470,Blue Grey,Common, Spikes,Steam Punk Shirt - Blue,Grin,Bored  - Shaved Brow,Mohawk - Blue,76244980097177162075243179347466129041
